Week of,Henry Hub Natural Gas Spot Price Dollars per Million Btu
12/25/09,5.66
12/18/09,5.61
12/11/09,5.08
12/4/09,4.5
11/27/09,3.52
11/20/09,3.3
11/13/09,3.38
11/6/09,4.28
10/30/09,4.37
10/23/09,4.7
10/16/09,3.93
10/9/09,3.6
10/2/09,3.06
9/25/09,3.46
9/18/09,3.21
9/11/09,2.69
9/4/09,2.18
8/28/09,2.72
8/21/09,3.01
8/14/09,3.39
8/7/09,3.58
7/31/09,3.41
7/24/09,3.5
7/17/09,3.29
7/10/09,3.27
7/3/09,3.68
6/26/09,3.87
6/19/09,4.04
6/12/09,3.53
6/5/09,3.76
5/29/09,3.58
5/22/09,3.79
5/15/09,4.24
5/8/09,3.78
5/1/09,3.29
4/24/09,3.45
4/17/09,3.53
4/10/09,3.61
4/3/09,3.62
3/27/09,4.06
3/20/09,3.8
3/13/09,3.89
3/6/09,4.23
2/27/09,4.15
2/20/09,4.34
2/13/09,4.72
2/6/09,4.81
1/30/09,4.74
1/23/09,4.8
1/16/09,5.42
1/9/09,5.88
1/2/09,5.64
12/26/08,5.41
12/19/08,5.72
12/12/08,5.68
12/5/08,6.44
11/28/08,6.61
11/21/08,6.67
11/14/08,6.68
11/7/08,6.76
10/31/08,6.44
10/24/08,6.75
10/17/08,6.68
10/10/08,6.68
10/3/08,7.3
9/26/08,7.74
9/19/08,7.91
9/12/08,7.69
9/5/08,7.54
8/29/08,8.16
8/22/08,7.9
8/15/08,8.1
8/8/08,8.71
8/1/08,9.15
7/25/08,9.93
7/18/08,11.3
7/11/08,12.3
7/4/08,13.2
6/27/08,12.89
6/20/08,12.88
6/13/08,12.59
6/6/08,12.29
5/30/08,11.67
5/23/08,11.31
5/16/08,11.36
5/9/08,11.11
5/2/08,10.75
4/25/08,10.54
4/18/08,10.13
4/11/08,9.88
4/4/08,9.68
3/28/08,9.24
3/21/08,9.09
3/14/08,9.74
3/7/08,9.43
2/29/08,9.16
2/22/08,8.89
2/15/08,8.47
2/8/08,7.87
2/1/08,8.02
1/25/08,7.87
1/18/08,8.33
1/11/08,7.84
1/4/08,7.57
12/28/07,6.97
12/21/07,7.12
12/14/07,7.17
12/7/07,7.12
11/30/07,7.44
11/23/07,6.88
11/16/07,7.19
11/9/07,6.95
11/2/07,6.93
10/26/07,6.39
10/19/07,7.1
10/12/07,6.68
10/5/07,6.65
9/28/07,6.33
9/21/07,6.21
9/14/07,6.03
9/7/07,5.66
8/31/07,5.51
8/24/07,5.93
8/17/07,7.08
8/10/07,6.35
8/3/07,6.3
7/27/07,5.76
7/20/07,6.37
7/13/07,6.4
7/6/07,6.27
6/29/07,6.71
6/22/07,7.36
6/15/07,7.51
6/8/07,7.76
6/1/07,7.65
5/25/07,7.56
5/18/07,7.74
5/11/07,7.56
5/4/07,7.68
4/27/07,7.48
4/20/07,7.51
4/13/07,7.83
4/6/07,7.55
3/30/07,7.32
3/23/07,6.91
3/16/07,6.86
3/9/07,7.32
3/2/07,7.34
2/23/07,7.46
2/16/07,8.43
2/9/07,8.31
2/2/07,7.71
1/26/07,7.29
1/19/07,6.52
1/12/07,6.13
1/5/07,5.5
12/29/06,5.6
12/22/06,6.26
12/15/06,7.01
12/8/06,7.51
12/1/06,7.93
11/24/06,7.59
11/17/06,7.39
11/10/06,7.04
11/3/06,7.11
10/27/06,7.39
10/20/06,6.22
10/13/06,5.07
10/6/06,4.32
9/29/06,4.17
9/22/06,4.8
9/15/06,5.15
9/8/06,5.53
9/1/06,6.04
8/25/06,7.09
8/18/06,6.84
8/11/06,7.43
8/4/06,8.08
7/28/06,6.82
7/21/06,6.04
7/14/06,5.74
7/7/06,5.39
6/30/06,5.97
6/23/06,6.5
6/16/06,6.3
6/9/06,6.06
6/2/06,6.16
5/26/06,5.96
5/19/06,5.92
5/12/06,6.55
5/5/06,6.61
4/28/06,7.17
4/21/06,7.63
4/14/06,6.81
4/7/06,6.98
3/31/06,7.11
3/24/06,7.1
3/17/06,7.06
3/10/06,6.44
3/3/06,6.71
2/24/06,7.39
2/17/06,7.25
2/10/06,7.8
2/3/06,8.36
1/27/06,8.22
1/20/06,8.67
1/13/06,8.63
1/6/06,9.42
12/30/05,9.93
12/23/05,13.06
12/16/05,14.49
12/9/05,14.21
12/2/05,11.89
11/25/05,10.88
11/18/05,10.26
11/11/05,9.22
11/4/05,10.86
10/28/05,13.71
10/21/05,13.36
10/14/05,13.4
10/7/05,13.67
9/23/05,13.46
9/16/05,10.94
9/9/05,11.14
9/2/05,11.6
8/26/05,9.81
8/19/05,9.53
8/12/05,9.07
8/5/05,8.46
7/29/05,7.56
7/22/05,7.65
7/15/05,7.79
7/8/05,7.64
7/1/05,7.09
6/24/05,7.52
6/17/05,7.36
6/10/05,7.11
6/3/05,6.49
5/27/05,6.33
5/20/05,6.42
5/13/05,6.59
5/6/05,6.58
4/29/05,6.95
4/22/05,7
4/15/05,7.11
4/8/05,7.49
4/1/05,7.22
3/25/05,7.15
3/18/05,7.09
3/11/05,6.82
3/4/05,6.62
2/25/05,6.13
2/18/05,6
2/11/05,6.08
2/4/05,6.25
1/28/05,6.4
1/21/05,6.4
1/14/05,6.11
1/7/05,5.74
12/31/04,6.26
12/24/04,7
12/17/04,7.03
12/10/04,6.08
12/3/04,6.61
11/26/04,5.16
11/19/04,5.81
11/12/04,6.12
11/5/04,6.92
10/29/04,7.38
10/22/04,6.7
10/15/04,5.61
10/8/04,5.92
10/1/04,5.73
9/24/04,5.44
9/17/04,5.04
9/10/04,4.56
9/3/04,4.84
8/27/04,5.23
8/20/04,5.34
8/13/04,5.55
8/6/04,5.66
7/30/04,5.91
7/23/04,5.86
7/16/04,5.88
7/9/04,6.13
7/2/04,6
6/25/04,6.34
6/18/04,6.39
6/11/04,6.08
6/4/04,6.39
5/28/04,6.57
5/21/04,6.33
5/14/04,6.33
5/7/04,6.1
4/30/04,5.76
4/23/04,5.53
4/16/04,5.76
4/9/04,5.78
4/2/04,5.56
3/26/04,5.31
3/19/04,5.58
3/12/04,5.39
3/5/04,5.27
2/27/04,5.14
2/20/04,5.31
2/13/04,5.45
2/6/04,5.57
1/30/04,5.88
1/23/04,6.07
1/16/04,5.95
1/9/04,6.65
1/2/04,5.73
12/26/03,5.8
12/19/03,6.73
12/12/03,6.51
12/5/03,5.58
11/28/03,4.64
11/21/03,4.36
11/14/03,4.59
11/7/03,4.36
10/31/03,4.38
10/24/03,4.7
10/17/03,4.84
10/10/03,4.72
10/3/03,4.49
9/26/03,4.49
9/19/03,4.56
9/12/03,4.76
9/5/03,4.69
8/29/03,5.05
8/22/03,5.07
8/15/03,5.05
8/8/03,4.83
8/1/03,4.68
7/25/03,4.91
7/18/03,5.06
7/11/03,5.36
7/4/03,5.14
6/27/03,5.61
6/20/03,5.57
6/13/03,5.94
6/6/03,6.26
5/30/03,5.83
5/23/03,6.02
5/16/03,6.05
5/9/03,5.57
5/2/03,5.25
4/25/03,5.51
4/18/03,5.5
4/11/03,5.15
4/4/03,4.91
3/28/03,4.99
3/21/03,5.18
3/14/03,5.94
3/7/03,7.8
2/28/03,12.03
2/21/03,6.33
2/14/03,6.08
2/7/03,6.11
1/31/03,5.68
1/24/03,5.91
1/17/03,5.37
1/10/03,5.03
1/3/03,4.85
12/27/02,4.96
12/20/02,5.12
12/13/02,4.64
12/6/02,4.31
11/29/02,4.25
11/22/02,4.25
11/15/02,3.86
11/8/02,3.88
11/1/02,4.23
10/25/02,4.22
10/18/02,4.14
10/11/02,3.85
10/4/02,4.17
9/27/02,3.8
9/20/02,3.71
9/13/02,3.3
9/6/02,3.21
8/30/02,3.33
8/23/02,3.28
8/16/02,2.99
8/9/02,2.78
8/2/02,3.01
7/26/02,2.97
7/19/02,2.9
7/12/02,2.96
7/5/02,3.18
6/28/02,3.43
6/21/02,3.26
6/14/02,3.11
6/7/02,3.24
5/31/02,3.24
5/24/02,3.35
5/17/02,3.57
5/10/02,3.65
5/3/02,3.65
4/26/02,3.5
4/19/02,3.4
4/12/02,3.21
4/5/02,3.54
3/29/02,3.4
3/22/02,3.31
3/15/02,2.92
3/8/02,2.67
3/1/02,2.47
2/22/02,2.38
2/15/02,2.28
2/8/02,2.22
2/1/02,2.18
1/25/02,2.18
1/18/02,2.34
1/11/02,2.38
1/4/02,2.53
12/28/01,2.4
12/21/01,2.4
12/14/01,2.45
12/7/01,1.98
11/30/01,2
11/23/01,2.18
11/16/01,2.16
11/9/01,2.72
11/2/01,3.06
10/26/01,2.86
10/19/01,2.42
10/12/01,2.21
10/5/01,1.96
9/28/01,1.9
9/21/01,2.15
9/14/01,2.4
9/7/01,2.34
8/31/01,2.45
8/24/01,3.04
8/17/01,3.18
8/10/01,3.09
8/3/01,3.21
7/27/01,3.08
7/20/01,3.07
7/13/01,3.19
7/6/01,3
6/29/01,3.3
6/22/01,3.81
6/15/01,3.97
6/8/01,3.79
6/1/01,3.74
5/25/01,4.05
5/18/01,4.31
5/11/01,4.22
5/4/01,4.56
4/27/01,4.99
4/20/01,5.21
4/13/01,5.44
4/6/01,5.27
3/30/01,5.39
3/23/01,5.2
3/16/01,5.12
3/9/01,5.24
3/2/01,5.14
2/23/01,5.13
2/16/01,5.63
2/9/01,5.98
2/2/01,6.23
1/26/01,7.07
1/19/01,7.68
1/12/01,9.57
1/5/01,9.79
12/29/00,9.88
12/22/00,9.86
12/15/00,8.37
12/8/00,8.16
12/1/00,6.18
11/24/00,6.29
11/17/00,5.78
11/10/00,4.96
11/3/00,4.49
10/27/00,4.68
10/20/00,5.17
10/13/00,5.26
10/6/00,5.2
9/29/00,5.21
9/22/00,5.17
9/15/00,5.05
9/8/00,4.82
9/1/00,4.66
8/25/00,4.63
8/18/00,4.33
